CIKKSZAM;MEGN;MENYEGY;BESZAR;ELADAR;AFASZAZ;AKTKESZ;TORT
6020022;ARIEL GEL 1,5L LENOR;DB;1290,87;1649;25;0;HAMIS
6020019;ARIEL GEL 1,725L;DB;1225;1899;25;0;HAMIS
6020000;ARIEL GEL 1,725L COLOR;DB;1074,11;1899;25;0;HAMIS
6020031;ARIEL GEL 3L TOBBFELE;DB;1999;2799;25;0;HAMIS
6020013;ARIEL GEL 5L;DB;2560;3690;25;2;HAMIS
7290004;ARO FOLYEKONY SZAPPAN 1L;DB;119;169;25;0;HAMIS
5900010;ARO KUTYA 0,5KG;DB;62,8;89;25;0;HAMIS
5900012;ARO KUTYA 3KG;DB;380;549;25;0;HAMIS
5900007;ARO KUTYA 10KG;DB;945;1299;25;0;HAMIS
5900008;ARO KUTYA 20KG 30ZSAK;DB;1975;2799;25;0;HAMIS
5900005;ARO KUTYA. 1240G 6KARTON;DB;166;239;25;0;HAMIS
5900009;ARO KUTYASZALAMI 1KG;DB;137,5;199;25;0;HAMIS
5900003;ARO MACSKA 400G;DB;70;99;25;0;HAMIS
5900013;ARO MACSKA 1KG;DB;215;299;25;0;HAMIS
6220002;ARO MOSOGATO 1L;DB;103;149;25;0;HAMIS
6300021;ARO OBLITO 1L;DB;209;299;25;0;HAMIS
6300022;ARO VASALOFOLYADEK 1L;DB;189;269;25;0;HAMIS
8010059;ARO WC PAPIR 16T;DB;289;399;25;0;HAMIS
5412007;AROMA 25G ANANASZ RUM;DB;53,73;89;25;13;HAMIS
5412003;AROMA 25G BARACKPALINKA;DB;36,59;89;25;0;HAMIS
5412000;AROMA 25G CSASZARKORTE;DB;52,48;89;25;0;HAMIS
5412001;AROMA 25G DIO;DB;53,73;89;25;21;HAMIS
5412006;AROMA 25G JAMAIKAI RUM;DB;53,73;89;25;-1;HAMIS
5412004;AROMA 25G KINGSTON RUM;DB;53,73;89;25;1;HAMIS
5412008;AROMA 25G KONYAK;DB;53,73;89;25;24;HAMIS
5412002;AROMA 25G KONYAKMEGGY;DB;53,23;89;25;0;HAMIS
5412005;AROMA 25G MANDULA;DB;53,73;89;25;0;HAMIS
5412009;AROMA 25G VANILIA;DB;52,46;89;25;0;HAMIS
5412010;AROMA 25G VILMOSKORTE;DB;53,73;89;25;20;HAMIS
5412014;AROMA 38ML OETKER CITROM;DB;107,82;169;25;11;HAMIS
5412012;AROMA 38ML OETKER MANDUL;DB;107,6;169;25;17;HAMIS
5412011;AROMA 38ML OETKER RUM;DB;107,51;169;25;0;HAMIS
5412013;AROMA 38ML OETKER VANIL;DB;106,08;169;25;12;HAMIS
7420022;ASTRA EXTRA 2 5-S CSOM;DB;183,46;399;25;6;HAMIS
2540008;ASZ CSASZ SZAL.KOLB.TOLT.;KG;1007;1499;25;0;IGAZ
2540039;ASZ CSASZAR 80G SZELETELT;DB;69;119;25;0;HAMIS
2540014;ASZ CSEMEGE SZALONNA;KG;450;799;25;0,14;IGAZ
2460058;ASZ CSULOKSONKA KG;KG;630;999;25;0;IGAZ
2570004;ASZ F-F COMB-LAPOCKA;KG;686,05;1099;25;3,934;IGAZ
2460096;ASZ FOKHAGYMAS SZELET;KG;560;798;25;0;IGAZ
2460098;ASZ FUST.CSULOK HATSO;KG;550;999;25;0;IGAZ
2460087;ASZ FUSTOLT CSULOK ELSO;KG;330;499;25;0;IGAZ
2460068;ASZ KOCKAZOTT BACON 500G;DB;350;549;25;0;HAMIS
2500032;ASZ KOTOZOTT LAPOCKA;KG;660;999;25;0;IGAZ
2520059;ASZ LANGOLT KOLBASZ KG;KG;606;899;25;0;IGAZ
2440082;ASZ NYARI TURISTA 500G;DB;450;649;25;0;HAMIS
2520035;ASZ PARASZTKOLBASZ;KG;636,89;1099;25;7,966;IGAZ
2460039;ASZ PIZZA BLOKK KG;KG;570;699;25;0;IGAZ
2420083;ASZ SZIGETI MAJAS 250G;DB;70;109;25;0;HAMIS
2520063;ASZ UTITARS FELV.500G;DB;330;399;25;0;HAMIS
2520050;ASZ VASTAGKOLBASZ;KG;880;1190;25;0,014;IGAZ
